2023-05-02 21:34:42,957 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#getDataSet:43 | 正在读取 100 号心电数据...
2023-05-02 21:39:23,385 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#data_process:101 | 开始处理数据

2023-05-02 21:39:35,709 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#data_process:107 | 数据处理完成

2023-05-02 21:39:58,658 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#data_process:97 | 开始读取数据

2023-05-02 21:39:58,661 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#getDataSet:43 | 正在读取 114 号心电数据...

2023-05-02 21:39:58,775 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#getDataSet:43 | 正在读取 115 号心电数据...

2023-05-02 21:39:58,898 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#data_process:101 | 开始处理数据

2023-05-02 21:40:03,021 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#data_process:107 | 数据处理完成

2023-05-02 21:40:20,055 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#data_process:97 | 开始读取数据

2023-05-02 21:40:20,057 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#getDataSet:43 | 正在读取 100 号心电数据...

2023-05-02 21:40:20,184 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#getDataSet:43 | 正在读取 106 号心电数据...

2023-05-02 21:40:20,336 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#getDataSet:43 | 正在读取 107 号心电数据...

2023-05-02 21:40:20,492 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#data_process:101 | 开始处理数据

2023-05-02 21:40:26,077 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#data_process:107 | 数据处理完成

2023-05-02 21:40:39,044 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#data_process:97 | 开始读取数据

2023-05-02 21:40:39,050 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#getDataSet:43 | 正在读取 108 号心电数据...

2023-05-02 21:40:39,171 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#getDataSet:43 | 正在读取 113 号心电数据...

2023-05-02 21:40:39,259 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#data_process:101 | 开始处理数据

2023-05-02 21:40:42,757 | INFO | D:\Project\Money\flaskTemplate\torch_model\Process.py#data_process:107 | 数据处理完成

